epoch,RMSE,acc,loss,lr,top_k_categorical_accuracy,val_RMSE,val_acc,val_loss,val_top_k_categorical_accuracy
25,0.117244296,0.7806881,0.6369556949107655,0.006139,0.9847338,0.11580717,0.7872,0.6304009466231624,0.9838
26,0.112651326,0.78923357,0.6131302424017934,0.0090595,0.9855795,0.10713893,0.7968,0.5908368207231353,0.988
27,0.11327236,0.78943384,0.6165273762564228,0.004258,0.98493415,0.09895305,0.8244,0.5272044443254229,0.989
28,0.11293298,0.7880541,0.6145386993831983,0.0007435,0.98662543,0.0962353,0.826,0.5036448613752292,0.9888
29,0.10635443,0.80305326,0.5746067134029759,0.005545,0.98811644,0.10373808,0.8124,0.5514057968990712,0.9888
30,0.103325985,0.80752623,0.5564577889459422,0.0096535,0.9884057,0.110976465,0.7958,0.5975306264207333,0.9876
31,0.1025087,0.810308,0.5473484015876507,0.004852,0.9893404,0.09164607,0.8318,0.4963668896050393,0.99
32,0.10121727,0.8136683,0.5464097719672038,0.0001495,0.98773813,0.089571774,0.84,0.4680781562494326,0.99
33,0.115185805,0.77752805,0.6442002934961317,0.004951,0.9796822,0.14510271,0.7152,0.8328384711772581,0.9734
34,0.12453569,0.76199484,0.6842680304767675,0.0097525,0.98086166,0.105626315,0.8004,0.5810246984415417,0.988
35,0.10438815,0.80610204,0.5634354788127565,0.005446,0.98816097,0.09238983,0.8272,0.49986828693860696,0.9898
36,0.09880883,0.8171897,0.5308009561569897,0.0006445,0.98995376,0.08695533,0.8418,0.4486379664909991,0.9922
37,0.09577274,0.8230615,0.5120683772652119,0.004357,0.9905971,0.08858627,0.8368,0.47092894775958,0.9928
38,0.092761874,0.82975787,0.4935744259097259,0.0091585,0.9908314,0.09977652,0.825,0.5273802865155136,0.9882
39,0.089352004,0.83687913,0.47269543773533296,0.00604,0.99196637,0.08150148,0.8506,0.4385788491632365,0.9926
40,0.08967829,0.83623374,0.47860746184595754,0.0012385,0.991143,0.08064756,0.853,0.42681945369967933,0.9922
41,0.08798358,0.83932704,0.46411352831845776,0.003763,0.9917883,0.08058434,0.8558,0.43801798077323767,0.993
42,0.08555412,0.8455581,0.4531286914556163,0.0085645,0.9924782,0.08851773,0.8386,0.4888193256492856,0.9886
43,0.08409556,0.84700465,0.44308644814361386,0.006634,0.992812,0.08292458,0.8556,0.4345707391636281,0.9934
44,0.092315204,0.8308588,0.4933798692982702,0.0018325,0.99110955,0.075214565,0.862,0.403585953142824,0.992
45,0.08407818,0.8464795,0.44460245427175854,0.003169,0.99293673,0.081270024,0.85,0.44059028165249886,0.9932
46,0.07879577,0.8569966,0.41164272000659335,0.0079705,0.99428076,0.08378714,0.8434,0.46576351908188834,0.9916
47,0.07795605,0.860446,0.40975738063027517,0.007228,0.99350184,0.079135396,0.8616,0.4132983229960067,0.992
48,0.07851768,0.85830957,0.41292684164593946,0.0024265,0.9929678,0.073591195,0.8688,0.3996405094107495,0.9916
49,0.07910843,0.85713017,0.41377102031982815,0.002575,0.99376893,0.076324865,0.8608,0.4212559676623043,0.9932
50,0.077007875,0.8596226,0.4038525228613272,0.0073765,0.99428076,0.08612817,0.8364,0.48985085193114947,0.99
51,0.0797154,0.8568631,0.4188607085369513,0.007822,0.99283427,0.08272088,0.8468,0.444874490740933,0.9918
52,0.07821584,0.8592665,0.4076595395851203,0.0030205,0.99379116,0.07030862,0.8726,0.38566397413422787,0.9934
